Sector,Sub-Sector,Use,Province,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Transport,Road,End use Combustion of Energy Carriers,British-Columbia,10502,10601,11086,11529,12207,12662,13057,13557,13718,13726,13472,13350,13275,14079,14801,14033,13984,14480,14918,14758,14330,13278,13736,14533,14660,14607,15428,15355,15717,15487,13974,15099,15652,15467
Transport,Off Road,End use Combustion of Energy Carriers,British-Columbia,4496,4692,4369,4507,4851,5208,5409,5756,6105,5865,6392,6547,6223,5992,6426,6184,5766,5752,5690,4120,4574,4546,4756,5230,5101,6148,6451,7138,7875,7668,7091,7618,7935,8174
Transport,Marine,End use Combustion of Energy Carriers,British-Columbia,782,806,830,853,876,900,911,923,935,948,961,974,987,1000,1012,1024,1016,1007,997,988,957,980,1005,1033,1060,1080,1065,1151,1201,1200,1166,1155,1230,1163
Transport,Rail,End use Combustion of Energy Carriers,British-Columbia,1748,1804,1664,1641,1602,1664,1694,1637,1484,1469,1356,1329,1232,1267,1379,1431,1479,1524,1425,1328,1440,1441,1556,1543,1529,1496,1443,1532,1709,1820,1797,1776,1775,1787
Transport,Air,End use Combustion of Energy Carriers,British-Columbia,1339,1161,1151,1084,1141,1260,1416,1472,1543,1605,1549,1414,1366,1366,1499,1547,1522,1461,1378,1240,1198,1146,1314,1345,1306,1318,1345,1462,1602,1601,905,1121,1537,1693
Buildings,Residential,End use Combustion of Energy Carriers,British-Columbia,4351,4257,4143,4662,4425,4467,5049,4601,4503,4804,4669,4548,4352,4098,3953,4430,4519,4465,4378,4352,4358,4374,4047,4013,3830,3741,3863,4261,4020,4183,4240,4325,4480,3962
Buildings,Commercial,End use Combustion of Energy Carriers,British-Columbia,2946,3209,3318,3710,3437,3514,3553,3435,3041,3132,3543,3532,4132,3376,3258,3133,3064,3027,3228,2865,2626,2932,2933,2716,2638,2425,2717,2864,2777,2925,3004,3124,3322,3111
Non Energy Ind,Non Energy Ind,End use Combustion of Energy Carriers,British-Columbia,7727,7424,6655,7213,7100,7881,8634,8127,7494,8209,8774,9038,7525,7648,7282,6654,5350,5202,4552,4414,4824,4904,5137,5100,5373,5376,5865,6038,6236,5640,5218,5228,4999,5179
Energy Sector,Oil and Gas,Production of Energy Carriers,British-Columbia,8502,7881,6916,6674,8812,10074,11538,10077,10974,12001,10981,12646,12775,12631,13460,13530,14388,14919,15499,15083,15491,16137,15635,15826,15448,14401,14043,13793,13859,13184,13103,12546,12294,11293
Energy Sector,Electricity,Production of Energy Carriers,British-Columbia,804,471,938,1960,1803,2329,638,1096,1826,1037,2102,2637,1169,1028,1255,1334,1515,1379,1763,1665,1562,817,734,894,838,789,745,637,817,1047,735,961,894,757
Ind Processes,Ind Processes,Non-Energy Emissions,British-Columbia,3189,3193,3260,3341,3574,3689,3812,4214,4388,4438,4667,4071,4215,4575,4920,4526,3907,4190,4217,3988,4002,3838,3901,3875,3912,3591,3948,3697,3979,3902,3631,3524,3273,3717
Agric,Agric,Non-Energy Emissions,British-Columbia,2097,2130,2243,2244,2316,2410,2439,2431,2381,2498,2536,2578,2603,2682,2737,2703,2498,2407,2314,2158,2083,2074,2100,2159,2157,2215,2302,2294,2366,2312,2322,2316,2267,2240
Waste,Waste,Non-Energy Emissions,British-Columbia,2684,2548,2587,2604,2687,2812,2904,2791,2876,2880,2970,2770,2773,2883,2774,2730,2867,2920,2929,3009,2951,2951,2729,2591,2553,2537,2395,2329,2344,2319,1900,1795,1878,1876
Transport,Road,End use Combustion of Energy Carriers,Alberta,12026,10934,11103,11458,12875,12966,13217,13997,14617,14814,14944,15764,15280,15877,16874,17409,19017,21075,21812,22187,22845,21630,22270,23689,24638,21930,20400,20901,22112,22334,18094,18319,18608,18551
Transport,Off Road,End use Combustion of Energy Carriers,Alberta,7611,7315,7765,7962,8815,9186,10364,11775,12017,11966,12117,13024,12253,12071,12281,12591,13289,11546,11297,10261,12403,12882,12695,13262,13280,13944,14471,16250,16456,17289,15203,16266,17018,16210
Transport,Marine,End use Combustion of Energy Carriers,Alberta,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
Transport,Rail,End use Combustion of Energy Carriers,Alberta,431,449,458,467,714,698,693,755,772,749,735,735,718,823,841,880,868,1012,890,805,880,844,931,920,955,921,909,993,1010,992,961,882,888,889
Transport,Air,End use Combustion of Energy Carriers,Alberta,1135,972,963,913,981,1041,1117,1145,1259,1363,1305,1222,1235,1230,1294,1346,1408,1497,1457,1268,1289,1262,1477,1601,1576,1569,1484,1534,1702,1668,901,1043,1442,1607
Buildings,Residential,End use Combustion of Energy Carriers,Alberta,6717,6680,6515,6694,7363,7697,8812,7830,7727,7557,8385,7280,8108,8243,8167,7473,7527,8936,8750,8611,8176,8668,8582,8645,8554,8230,8413,8577,8956,8878,8671,8175,8647,8030
Buildings,Commercial,End use Combustion of Energy Carriers,Alberta,5041,4841,4485,4620,4649,5610,5054,5096,4914,4693,5428,4866,5821,6143,6102,5612,5329,5832,5608,5656,5567,5904,6202,6223,6360,5808,6458,7812,8404,8628,8116,7814,8474,7993
Non Energy Ind,Non Energy Ind,End use Combustion of Energy Carriers,Alberta,11449,11387,11293,10241,10739,11839,12350,13096,11835,12251,12184,10183,9745,9010,9557,9503,9972,9977,9899,10076,11216,12519,11872,12716,12295,11082,10414,9721,9735,10329,9636,9458,9417,9753
Energy Sector,Oil and Gas,Production of Energy Carriers,Alberta,70997,71733,76064,79789,80987,83192,86970,86984,88727,95239,100739,102159,103697,108161,106775,110682,116890,123127,121784,121042,126181,132954,137664,142019,144169,143881,131914,138553,143583,143888,137588,143474,141082,141008
Energy Sector,Electricity,Production of Energy Carriers,Alberta,39743,41541,44693,45362,48651,48165,47520,49626,49752,48163,50220,51238,51337,52865,50991,51960,52295,52332,52673,48871,49027,48777,47046,48249,49306,46750,45895,46776,36613,36307,32236,28273,24712,25385
Ind Processes,Ind Processes,Non-Energy Emissions,Alberta,6716,6684,6220,7259,7811,7661,8797,9595,8949,9312,9371,8880,9291,11354,11021,11350,11816,11370,11147,10560,10992,12025,15444,13290,11542,13211,12822,12443,12922,12686,12401,12738,12561,12347
Agric,Agric,Non-Energy Emissions,Alberta,12611,12986,13558,14292,15062,16010,16100,16048,16469,16921,17545,17823,17459,17282,17724,18424,17768,17730,17590,16542,16040,16029,16421,16849,16803,16874,16809,16344,16825,17064,17531,17421,17931,16887
